Sno,Candidate,Constituency,Party,Result,Criminal Cases,Cases details(convicted),Cases details(accused),Serious IPC Detail,Other IPC Detail,Education,Movable Assets,Immovable Assets,Total Assets,Liabilities,PAN Given (Y or N)  
1,MALIKAYYA V. GUTTEDAR,Afzalpur,INC,W,0,No Cases ,No Cases,,,12th,5396000,15850000,21246000,1160000,Y 
2,TUKARAMGOUD  SAHEBGOUD PATIL,Afzalpur,JD(S),L,0,No Cases ,No Cases,,,10th,261000,3950000,4211000,150000,N 
3,M.Y. PATIL,Afzalpur,BJP,L,0,No Cases ,No Cases,,,not_given,1070255,7800000,8870255,678857,N 
4,MAHADEV SIDDARAM,Afzalpur,IND,L,0,No Cases ,No Cases,,,literate,21000,0,21000,45000,N 
5,RAVI M. SHETTY (MOTAGI),Afzalpur,BSP,L,0,No Cases ,No Cases,,,graduate,437000,1600000,2037000,100000,N 
6,CHANDRASHEKHAR  BASSAPPA JABA,Afzalpur,RAHS,L,0,No Cases ,No Cases,,,10th,42000,0,42000,0,N 
7,MOULA MULLA,Aland,CPI,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
8,MALLIKARJUN DHOLE,Aland,RAHS,L,0,No Cases ,No Cases,,,12th,35000,0,35000,25000,Y 
9,BABURAO HANAMANTH,Aland,IND,L,0,No Cases ,No Cases,,,10th,173000,350000,523000,25000,N 
10,YESHWANT .S. HATTARKI,Aland,JD(U),L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
11,DR. B.G. JAWALI,Aland,BJP,L,1,No Cases ,"(1):IPC Sections -  120B, 201, 406, 423, 424, 467, 468, 471, 34 , Other Details -  
",,"1 charges related to Dishonest or fraudulent execution of deed of transfer containing false statement of consideration (IPC Section-423) 
1 charges related to Dishonest or fraudulent removal or concealment of property (IPC Section-424) 
1 charges related to Forgery of valuable security, will, etc. (IPC Section-467) 
1 charges related to Forgery for purpose of cheating (IPC Section-468) 
1 charges related to Using as genuine a forged document or electronic record (IPC Section-471) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
1 charges related to Punishment of criminal conspiracy (IPC Section-120B) 
1 charges related to Causing disappearance of evidence of offence, or giving false information to screen offender (IPC Section-201) 
1 charges related to  criminal breach of trust (IPC Section-406) 
",post_graduate,88712771,45075000,133787771,400000,Y 
12,SHANKARRAO R. PATIL,Aland,IND,L,0,No Cases ,No Cases,,,10th,168000,370000,538000,0,N 
13,MAYADEVI GOUTAM KOKATE,Aland,IND,L,0,No Cases ,No Cases,,,literate,75000,20000,95000,0,N 
14,KUPENDRA SHIVARAYA DHULE,Aland,SP,L,0,No Cases ,No Cases,,,graduate,140000,1020000,1160000,61150,N 
15,GUTTEDAR SUBASH RUKMAYYA,Aland,JD(S),W,0,No Cases ,No Cases,,,10th,2170151,14512200,16682351,250000,Y 
16,SHIVALINGAPPA .E. ASHTAGI,Aland,IND,L,0,No Cases ,No Cases,,,post_graduate,254982,350000,604982,0,N 
17,SHANTALA SWAMIRAO CHANAGUND,Aland,IND,L,0,No Cases ,No Cases,,,graduate_professional,0,0,0,0,N 
18,HANAMANTH G. YELSANGI,Aland,LJP,L,0,No Cases ,No Cases,,,post_graduate,30000,300000,330000,75000,N 
19,APPARAO M. PATIL,Aland,IND,L,0,No Cases ,No Cases,,,10th,50000,50000,100000,100909,N 
20,VEERANNA. S. MANGANI,Aland,BSP,L,0,No Cases ,No Cases,,,10th,251680,4700000,4951680,313200,N 
21,GOPINATHA G M,Anekal,IND,L,0,No Cases ,No Cases,,,graduate_professional,0,0,0,0,N 
22,A NARAYANASWAMY,Anekal,BJP,W,0,No Cases ,No Cases,,,not_given,100000,31000000,31100000,0,N 
23,C THOPAIAH,Anekal,JD(U),L,0,No Cases ,No Cases,,,graduate,10000,0,10000,0,N 
24,B GOPAL,Anekal,INC,L,0,No Cases ,No Cases,,,12th,423255,20000000,20423255,1250000,N 
25,R VENKATASWAMY,Anekal,LJP,L,0,No Cases ,No Cases,,,not_given,57000,300000,357000,0,N 
26,JIGANI SHANKAR,Anekal,BSP,L,0,No Cases ,No Cases,,,graduate,70000,36000000,36070000,1968238,Y 
27,GOUDAR  SHIVANGOUDA NINGAPPA,Arabhavi,SKP,L,0,No Cases ,No Cases,,,literate,40000,250000,290000,0,N 
28,KOUJALAGI VEERANNA SHIVALINGAPPA,Arabhavi,INC,L,0,No Cases ,No Cases,,,graduate,19878304,52595000,72473304,2670652,Y 
29,UNDRI GOPAL BHARAMAPPA,Arabhavi,SP,L,0,No Cases ,No Cases,,,graduate_professional,190000,0,190000,0,N 
30,ASHOK PANDAPPA HANAJI,Arabhavi,IND,L,0,No Cases ,No Cases,,,12th,151000,300000,451000,0,N 
31,BALACHANDRA LAXMANRAO JARAKIHOLI,Arabhavi,JD(S),W,1,No Cases ,"(1):IPC Sections -  144, 147, 148, 364, 307, 379, 404, 120B, 302, 201, 149 , Other Details - 25,30 AND 29 OF INDIAN  ARMS ACT 
","1 charges related to Murder (IPC Section-302) 
1 charges related to Kidnapping or abducting in order to murder (IPC Section-364) 
1 charges related to Attempt to murder (IPC Section-307) 
1 charges related to  theft (IPC Section-379) 
","1 charges related to Dishonest misappropriation of property possessed by deceased person at the time of his death (IPC Section-404) 
1 charges related to Punishment of criminal conspiracy (IPC Section-120B) 
1 charges related to Causing disappearance of evidence of offence, or giving false information to screen offender (IPC Section-201) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Joining unlawful assembly armed with deadly weapon (IPC Section-144) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
",10th,29314755,26196000,55510755,0,Y 
32,SURESH MAHALINGAPPA LATHUR,Arabhavi,BSP,L,0,No Cases ,No Cases,,,graduate_professional,4839680,21500000,26339680,4408750,Y 
33,VIVEKRAO VASANTRAO PATIL,Arabhavi,BJP,L,0,No Cases ,No Cases,,,doctorate,7138975,12605000,19743975,4359940,N 
34,H. T. HUCHAPPA,Arkalgud,SKP,L,0,No Cases ,No Cases,,,graduate,600000,2512500,3112500,230800,N 
35,K. NANJUNDE GOWDA,Arkalgud,BJP,L,0,No Cases ,No Cases,,,post_graduate,2106000,51195000,53301000,873000,N 
36,H. D. KRISHNA,Arkalgud,IND,L,0,No Cases ,No Cases,,,post_graduate,57000,100000,157000,0,N 
37,MANJU. A,Arkalgud,INC,W,1,No Cases ,"(1):IPC Sections -  354,341,504,506 , Other Details - First information no.87/2008
Hassan city police station Hassan district, Karnataka.Case is under investigation. 
",,"1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Assault or criminal force to woman with intent to outrage her modesty (IPC Section-354) 
1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
",post_graduate,6096394,44000000,50096394,10389730,N 
38,K. S. RAMEGOWDA,Arkalgud,BSP,L,0,No Cases ,No Cases,,,10th,20000,0,20000,0,N 
39,A. T. RAMASWAMY,Arkalgud,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,2735363,14000000,16735363,0,N 
40,K. M. BASAVARAJ,Arsikere,BSP,L,0,No Cases ,No Cases,,,graduate_professional,785377,1350000,2135377,625000,N 
41,K. M. SHIVALINGEGOWDA,Arsikere,JD(S),W,0,No Cases ,No Cases,,,graduate,311229,2550000,2861229,0,Y 
42,PRAVEEN. M. P.,Arsikere,IND,L,0,No Cases ,No Cases,,,12th,5000,300000,305000,40000,N 
43,G. V. SIDDAPPA,Arsikere,INC,L,0,No Cases ,No Cases,,,12th,5222410,9186000,14408410,0,Y 
44,B. N. RAMESH,Arsikere,JD(U),L,0,No Cases ,No Cases,,,graduate,462703,3650000,4112703,439022,Y 
45,KIRANA KUMAR TATYAGOUDA PATIL,Athani,INC,L,0,No Cases ,No Cases,,,10th,486063,6188192,6674255,2400000,N 
46,NAVALGATTI SANJEEV BALAPPA,Athani,BSP,L,0,No Cases ,No Cases,,,12th,326119,1470000,1796119,920000,Y 
47,BUTALI SADASHIV KEDARI,Athani,JD(S),L,1,No Cases ,"(1):IPC Sections -  188 , Other Details - C.C.NO.69/S/2007
Court: A-J.M.F.C. Ponda, Goa This case is pending
Police station:Ponda Police station, Panaji district, Goa state
Date:October-2007 
",,"1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 
",5th,867659,12963008,13830667,9663073,Y 
48,SUNIL SHANKAR WAGHAMARE,Athani,RPI(A),L,0,No Cases ,No Cases,,,graduate_professional,120000,240000,360000,40000,N 
49,LAXMAN SANGAPPA SAVADI,Athani,BJP,W,0,No Cases ,No Cases,,,8th,4876234,24367600,29243834,823133,Y 
50,KRISHNAJI LAXMANRAO KUNDARGI,Athani,RAHS,L,0,No Cases ,No Cases,,,graduate_professional,10000,1000000,1010000,28706,N 
51,FIROJKHAN SHAMUSHUDDIN KAROLI,Athani,SP,L,0,No Cases ,No Cases,,,12th,50000,900000,950000,120000,N 
52,PRABHU CHAVHAN,Aurad,BJP,W,0,No Cases ,No Cases,,,12th,10600000,8900000,19500000,5200000,Y 
53,DR.SHANKARRAO SONAL WADI,Aurad,IND,L,0,No Cases ,No Cases,,,10th,10000,240000,250000,860000,N 
54,BABURAO KADAM,Aurad,JD(S),L,0,No Cases ,No Cases,,,graduate,1155000,715000,1870000,0,N 
55,NARSINGRAO SURYAWANSHI,Aurad,INC,L,0,No Cases ,No Cases,,,graduate,732748,2243850,2976598,386323,Y 
56,VISHWANATH MADHAVRAO SINDHE,Aurad,IND,L,0,No Cases ,No Cases,,,not_given,526460,400000,926460,24000,N 
57,DR.MOHANRAO,Aurad,SP,L,0,No Cases ,No Cases,,,graduate_professional,840000,2000000,2840000,0,N 
58,SHAMANNA BAVAGI,Aurad,IND,L,0,No Cases ,No Cases,,,12th,53500,575000,628500,200000,N 
59,VAIJANATHRAO SURYAWANSHI,Aurad,BSP,L,0,No Cases ,No Cases,,,post_graduate,1511169,1200000,2711169,130660,N 
60,MOHAN B.,B.T.M. Layout,JD(S),L,0,No Cases ,No Cases,,,graduate,370000,6158900,6528900,599000,Y 
61,S.UMESH,B.T.M. Layout,SP,L,0,No Cases ,No Cases,,,post_graduate,58000,1800000,1858000,0,N 
62,PARVATHAMMA K,B.T.M. Layout,IND,L,0,No Cases ,No Cases,,,12th,0,0,0,0,N 
63,RAMALINGA REDDY,B.T.M. Layout,INC,W,0,No Cases ,No Cases,,,graduate,3808434,82695545,86503979,0,Y 
64,A. PAPANNA,B.T.M. Layout,BSP,L,0,No Cases ,No Cases,,,5th,1400000,12900000,14300000,2300000,Y 
65,T.C SHANTHARAM,B.T.M. Layout,RAHS,L,0,No Cases ,No Cases,,,not_given,105000,0,105000,0,N 
66,T.THIPPESWAMY,B.T.M. Layout,IND,L,0,No Cases ,No Cases,,,graduate,123641,0,123641,0,N 
67,G. PRASAD REDDY,B.T.M. Layout,BJP,L,0,No Cases ,No Cases,,,others,102095415,705580000,807675415,0,N 
68,PRABHAKARA HONNALLI,B.T.M. Layout,LKPT,L,0,No Cases ,No Cases,,,graduate,556180,10300000,10856180,197434,N 
69,YASHODHARA MURTHY T.V,B.T.M. Layout,IND,L,0,No Cases ,No Cases,,,not_given,165000,0,165000,0,N 
70,RAMALINGA REDDY,B.T.M. Layout,IND,L,0,No Cases ,No Cases,,,graduate,3808434,82695545,86503979,0,Y 
71,BIRADAR VEERANAGOUDA NANDABASAPPAGOUDA,Babaleshwar,BJP,L,0,No Cases ,No Cases,,,graduate,1407324,6200000,7607324,573000,N 
72,G.S.JALAMATTI,Babaleshwar,IND,L,0,No Cases ,No Cases,,,5th,201144,225000,426144,8000,N 
73,M.B.PATIL,Babaleshwar,INC,W,0,No Cases ,No Cases,,,graduate_professional,215483590,146577000,362060590,95213516,Y 
74,DR. SARASWATI CHIMMALAGI,Babaleshwar,BSP,L,0,No Cases ,No Cases,,,doctorate,2160950,11400000,13560950,2794399,N 
75,MALLU KASHIRAM NAGARAGOJI,Babaleshwar,IND,L,0,No Cases ,No Cases,,,literate,320385,5000000,5320385,2000000,N 
76,VIJUGOUDA PATIL,Babaleshwar,JD(S),L,0,No Cases ,No Cases,,,graduate,4336027,10027274,14363301,7479000,Y 
77,MALAPPA SHANKAR HAKKE,Babaleshwar,SP,L,0,No Cases ,No Cases,,,10th,280000,5200000,5480000,0,N 
78,NINGAPPA BASAPPA BANNUR,Badami,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,2060940,10790235,12851175,5427000,Y 
79,VIRUPAKSHAGOUDA SHANKARGOUDA PATIL,Badami,IND,L,1,No Cases ,"(1):IPC Sections -   , Other Details - 135 N.I.Act,Dist & Sessions Judge, Bagalkot 
Case no:Spl.C.No.17/2006
Police Station: K.E.B. Vigilance, Bagalkot,
Date on which charge was framed:02-01-2006 
",,,graduate_professional,894000,4300000,5194000,600000,N 
80,MAHAGUNDAPPA KALLAPPA PATTANSHETTI,Badami,BJP,W,0,No Cases ,No Cases,,,graduate,969060,13929175,14898235,543597,Y 
81,MANOHAR H AYYANNAVAR,Badami,IND,L,0,No Cases ,No Cases,,,graduate_professional,485700,750000,1235700,0,N 
82,ABBASAKHAN SHANUKHAN MUJAWAR,Bagalkot,BSP,L,0,No Cases ,No Cases,,,12th,50000,500000,550000,125000,N 
83,GIRISH TAMMANNARAO KULKARNI,Bagalkot,IND,L,0,No Cases ,No Cases,,,10th,0,300000,300000,10000,N 
84,CHARANTIMATH VIRANNA CHANDRASHEKHARAYYA,Bagalkot,BJP,W,1,No Cases ,"(1):IPC Sections -  143, 147, 148, 336, 353, 395, 325, 324, 511, 149 , Other Details - Case No. 33/2007 (BGK Town PS CR No 235/04) Fast track court No.II,Bagalkot, Date-03-12-2004 
","1 charges related to  dacoity (IPC Section-395) 
1 charges related to  voluntarily causing grievous hurt (IPC Section-325) 
1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","1 charges related to Act endangering life or personal safety of others (IPC Section-336) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to  attempting to commit offences punishable with imprisonment for life or other imprisonment (IPC Section-511) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
",12th,8090053,4509605,12599658,10985307,N 
85,KHAJI KUTUBSAB BASHASAB,Bagalkot,SP,L,0,No Cases ,No Cases,,,12th,0,2000000,2000000,100000,N 
86,TAPASHETTI PRAKASH ISHWARAPPA,Bagalkot,IND,L,1,No Cases ,"(1):IPC Sections -  143, 147, 148, 336, 353, 395, 225, 224, 511, 149 , Other Details - This case was filed during in resolving dispute of Participate mulagade 
S.C NO.33/07(BGK Town PSCD NO.235/04)
Date:03/12/2004,11/03/2005 
","1 charges related to  dacoity (IPC Section-395) 
","1 charges related to Act endangering life or personal safety of others (IPC Section-336) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Resistance or obstruction to lawful apprehension of another person (IPC Section-225) 
1 charges related to Resistance or obstruction by a person to his lawful apprehension (IPC Section-224) 
1 charges related to  attempting to commit offences punishable with imprisonment for life or other imprisonment (IPC Section-511) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
",graduate,5201480,9200000,14401480,2007091,Y 
87,P. H. PUJAR,Bagalkot,JD(S),L,1,No Cases ,"(1):IPC Sections -   , Other Details - J.M.F.C Court, C.C. 4/07 
",,,not_given,2180589,6680798,8861387,821440,Y 
88,GODI SIDDAPPA SATYAPPA,Bagalkot,IND,L,0,No Cases ,No Cases,,,graduate,20000,0,20000,100000,N 
89,NAGARAJA REDDY D J,Bagepalli,JD(S),L,0,No Cases ,No Cases,,,not_given,2600000,0,2600000,0,N 
90,BABAJAN,Bagepalli,IND,L,0,No Cases ,No Cases,,,10th,135000,0,135000,200000,N 
91,CHALAPATHAPPA T V,Bagepalli,SP,L,0,No Cases ,No Cases,,,12th,60000,2000000,2060000,8000,N 
92,SAMPANGI N,Bagepalli,INC,W,0,No Cases ,No Cases,,,graduate_professional,700000,4300000,5000000,0,N 
93,SAI KUMAR P,Bagepalli,BJP,L,0,No Cases ,No Cases,,,post_graduate,1112000,14437620,15549620,450000,N 
94,KODANDA RAMU S V (NAMBIKE RAMKUMAR),Bagepalli,IND,L,0,No Cases ,No Cases,,,graduate,0,0,0,0,N 
95,GOVINDA REDDY S N,Bagepalli,IND,L,0,No Cases ,No Cases,,,graduate,0,2000000,2000000,0,N 
96,SREERAMA REDYY G V,Bagepalli,CPM,L,1,No Cases ,"(1):IPC Sections -  143,147,341,352,506 read with 149IPC , Other Details - court J.M.F.C, Kolara
case no.CC129/2001 court's order date 17-01-2001 
",,"1 charges related to  assault or criminal force otherwise than on grave provocation (IPC Section-352) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to  wrongful restraint (IPC Section-341) 
",not_given,81150,529000,610150,725000,N 
97,NARASA REDDY B,Bagepalli,BSP,L,0,No Cases ,No Cases,,,not_given,2500000,1200000,3700000,100000,N 
98,KRISHNAPPA,Bagepalli,IND,L,0,No Cases ,No Cases,,,not_given,10000,100000,110000,0,N 
99,SRINIVASA NAYAKA N,Bagepalli,LJP,L,0,No Cases ,No Cases,,,10th,95000,605000,700000,0,N 
100,METGUD VIRUPAXI (JAGADISH) CHANNAPPA,Bailhongal,BJP,W,0,No Cases ,No Cases,,,graduate,2369251,3304000,5673251,27375000,Y 
101,BATAGI MALLIKARJUN HUCHCHAPPA,Bailhongal,LJP,L,0,No Cases ,No Cases,,,12th,51000,2000000,2051000,160000,N 
102,SURESH MADIVALAPPA VIVEKI,Bailhongal,JD(U),L,0,No Cases ,No Cases,,,12th,10000,0,10000,0,N 
103,KOUJALAGI MAHANTESH SHIVANAND,Bailhongal,INC,L,0,No Cases ,No Cases,,,graduate_professional,19185963,4000000,23185963,203799,Y 
104,PANCHAKSHARAYYA NEELAKANTHAYYA GANACHARI,Bailhongal,BSP,L,0,No Cases ,No Cases,,,post_graduate,260000,700000,960000,175000,N 
105,BALAPPA SOMAPPA CHALAKOPP,Bailhongal,IND,L,0,No Cases ,No Cases,,,not_given,25000,275000,300000,0,N 
106,CHANDRASHEKHAR SHIVALINGAPPA SADHUNAVAR,Bailhongal,JD(S),L,0,No Cases ,No Cases,,,graduate,2990582,19767000,22757582,4435000,Y 
107,SHRIKANT YALLAPPA SHIRAHATTI,Bailhongal,ABHM,L,0,No Cases ,No Cases,,,graduate,75000,300000,375000,5000,N 
108,DURGAMMA BASAPPA YARZARVI,Bailhongal,IND,L,0,No Cases ,No Cases,,,12th,10000,0,10000,0,N 
109,A SOMASHEKAR,Bangalore South,IND,L,0,No Cases ,No Cases,,,graduate,25000,14681500,14706500,160000,N 
110,SADANANDA M,Bangalore South,INC,L,0,No Cases ,No Cases,,,10th,1530000,11450000,12980000,4450000,Y 
111,H P RAJAGOPALA REDDY,Bangalore South,IND,L,0,No Cases ,No Cases,,,12th,20809485,7461654,28271139,650000,Y 
112,LOKESH M R,Bangalore South,IND,L,0,No Cases ,No Cases,,,12th,0,1500000,1500000,15000,Y 
113,N S RAVICHANDRA,Bangalore South,IND,L,0,No Cases ,No Cases,,,graduate,0,0,0,0,N 
114,JAYARAMA Y,Bangalore South,IND,L,0,No Cases ,No Cases,,,5th,0,0,0,0,N 
115,M KRISHNAPPA,Bangalore South,BJP,W,0,No Cases ,No Cases,,,10th,1372000,175727000,177099000,8866000,Y 
116,V.SHESHU,Bangarapet,JD(S),L,0,No Cases ,No Cases,,,not_given,60000,0,60000,5500000,N 
117,M.VENKATESH,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,0,250000,250000,0,N 
118,V.RAVIKUMAR,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
119,M.SRINIVASAPPA,Bangarapet,SP,L,0,No Cases ,No Cases,,,post_graduate,50000,0,50000,0,N 
120,T.S.KRISHNA MURTHY,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,25000,0,25000,0,N 
121,M.NARAYANASWAMY,Bangarapet,INC,W,0,No Cases ,No Cases,,,not_given,5000,0,5000,0,N 
122,G.K.NAGENDRA,Bangarapet,BSP,L,0,No Cases ,No Cases,,,graduate,250000,2500000,2750000,0,N 
123,R.N.THIPPARAJ,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
124,V.UDAYA KUMAR,Bangarapet,LJP,L,0,No Cases ,No Cases,,,literate,30000,0,30000,0,N 
125,M.NAGARAJA,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
126,N.NARAYANASWAMY,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,5000,0,5000,0,N 
127,B.P.VENKATAMUNIYAPPA,Bangarapet,BJP,L,0,No Cases ,No Cases,,,8th,3945000,3777000,7722000,0,Y 
128,K.VENKATESH,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,200,0,200,0,N 
129,P.M.RAMESHA,Bangarapet,IND,L,0,No Cases ,No Cases,,,graduate_professional,20000,0,20000,0,N 
130,M.NARAYANSWAMY,Bangarapet,IND,L,0,No Cases ,No Cases,,,not_given,5000,0,5000,0,N 
131,K.M.IBRAHIM,Bantval,JD(S),L,0,No Cases ,No Cases,,,graduate,5468000,122100000,127568000,7000000,Y 
132,P.A. RAHEEM,Bantval,BSP,L,0,No Cases ,No Cases,,,12th,789139,20000,809139,1737000,N 
133,B.RAMANATHA RAI,Bantval,INC,W,0,No Cases ,No Cases,,,12th,171500,0,171500,17500,N 
134,SATHISH KUMAR BANTWAL,Bantval,CPI,L,0,No Cases ,No Cases,,,graduate_professional,99035,0,99035,50000,N 
135,NAGARAJ SHETTY B,Bantval,BJP,L,0,No Cases ,No Cases,,,graduate,1543988,11267000,12810988,16709147,N 
136,RAMANATHA PAI,Bantval,IND,L,0,No Cases ,No Cases,,,graduate,17511000,18470000,35981000,4270000,Y 
137,BHAGIRATHI SHIVARAJ,Basavakalyan,IND,L,0,No Cases ,No Cases,,,not_given,94000,1050000,1144000,20000,N 
138,M G MULEY,Basavakalyan,INC,L,0,No Cases ,No Cases,,,post_graduate,2522000,6550000,9072000,1500000,N 
139,YUVARAJ BALIRAM PATIL,Basavakalyan,SUP,L,0,No Cases ,No Cases,,,graduate_professional,282000,1175000,1457000,0,N 
140,ARUNK UMAR SHIVAJI RAO,Basavakalyan,IND,L,0,No Cases ,No Cases,,,10th,122000,0,122000,0,N 
141,MALLIKARJUN S KHUBA,Basavakalyan,JD(S),L,6,No Cases ,"(1):IPC Sections -   , Other Details - 3 of KOP (Prevention of Disfigurement Act 1981),Cr No.-42/2008 
(2):IPC Sections -   , Other Details - 3 of KOP (Prevention of Disfigurement Act 1981),Cr No.-29/2008 
(3):IPC Sections -   , Other Details - 3 of KOP (Prevention of Disfigurement Act 1981),Cr No.-30/2008 
(4):IPC Sections -   , Other Details - 3 of KOP (Prevention of Disfigurement Act 1981),Cr No.-31/2008 
(5):IPC Sections -   , Other Details - 3 of KOP (Prevention of Disfigurement Act 1981),Cr No.-52/2008 
(6):IPC Sections -  171B, 171E, 34 , Other Details - Cr. No.-55/2008 
","1 charges related to Bribery (IPC Section-171B) 
","1 charges related to Wearing grab or carrying token used by public servant with fraudulent intent (IPC Section-171) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
",10th,9217170,14301399,23518569,4506234,Y 
142,MILIND GURUJI,Basavakalyan,RPI(A),L,0,No Cases ,No Cases,,,post_graduate,40000,225000,265000,0,N 
143,BASAVARAJ PATIL ATTUR,Basavakalyan,BJP,W,0,No Cases ,No Cases,,,graduate,1310000,33000000,34310000,0,N 
144,SHANTAPPA G PATIL,Basavakalyan,BSP,L,0,No Cases ,No Cases,,,graduate,3457912,6895000,10352912,61490,Y 
145,DAYANAND PATNE,Basavakalyan,SHS,L,0,No Cases ,No Cases,,,10th,102000,0,102000,0,N 
146,BELLUBBI SANGAPPA KALLAPPA,Basavana Bagevadi,BJP,W,0,No Cases ,No Cases,,,10th,6317025,18600000,24917025,9480000,N 
147,DUNDASI NAZEER MAHMMAD HANIF,Basavana Bagevadi,LJP,L,0,No Cases ,No Cases,,,12th,320000,700000,1020000,400000,N 
148,SHIVANAND PATIL,Basavana Bagevadi,INC,L,0,No Cases ,No Cases,,,12th,10389090,9183541,19572631,9139844,Y 
149,YARANAL RAJASHEKAR CHANDRAMAPPA,Basavana Bagevadi,BSP,L,0,No Cases ,No Cases,,,12th,841000,2350000,3191000,90000,N 
150,SOMANAGOUDA BASANAGOUDA PATIL,Basavana Bagevadi,JD(S),L,0,No Cases ,No Cases,,,10th,1446000,7653600,9099600,2285000,N 
151,CHANDRASHEKAR.B,Basavanagudi,IND,L,0,No Cases ,No Cases,,,not_given,50000,0,50000,0,N 
152,SATHYANARAYANA H.K,Basavanagudi,IND,L,0,No Cases ,No Cases,,,10th,61180,0,61180,0,N 
153,K.CHANDRASHEKAR,Basavanagudi,INC,L,1,No Cases ,"(1):IPC Sections -  447, 427, 506(1) , Other Details - P.C.R No. 17710/2005, 6th additional chief metropolitan magistrate. 
",,"1 charges related to  criminal trespass (IPC Section-447) 
1 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
",graduate,2974334,38989000,41963334,9477343,Y 
154,R.S.N.GOWDA,Basavanagudi,KP,L,0,No Cases ,No Cases,,,graduate,110000,0,110000,0,N 
155,S.K.CHANDRASHEKAR,Basavanagudi,IND,L,0,No Cases ,No Cases,,,10th,17000,0,17000,61000,N 
156,V.N.RAJASHEKHAR,Basavanagudi,IND,L,0,No Cases ,No Cases,,,10th,0,0,0,0,N 
157,H.M.VISWANATH,Basavanagudi,JD(S),L,0,No Cases ,No Cases,,,10th,2237801,20928000,23165801,503300,N 
158,C.K.RAVICHANDARA,Basavanagudi,SP,L,0,No Cases ,No Cases,,,post_graduate,19000,500000,519000,0,N 
159,H.S.SUBBARAO,Basavanagudi,IND,L,0,No Cases ,No Cases,,,graduate,0,0,0,0,N 
160,G.S.CHANDRASHEKAR,Basavanagudi,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,Y 
161,JAGADISH,Basavanagudi,IND,L,0,No Cases ,No Cases,,,not_given,0,0,0,0,N 
162,RAVISUBRAMANYA L.A,Basavanagudi,BJP,W,0,No Cases ,No Cases,,,post_graduate,4515983,13062500,17578483,1010000,N 
163,M.VASUDAVA RAO KASYAPA,Basavanagudi,BSP,L,0,No Cases ,No Cases,,,not_given,300000,0,300000,0,N 
164,RANGANATHA T.L,Basavanagudi,SKP,L,0,No Cases ,No Cases,,,10th,310000,0,310000,0,N 
165,KIRAN KRISHNARAO SAYANAK,Belgaum Dakshin,IND,L,0,No Cases ,No Cases,,,graduate,1691000,5991256,7682256,1390907,Y 
166,HULABATTE RAJAN SHANTINATH,Belgaum Dakshin,IND,L,0,No Cases ,No Cases,,,not_given,1380000,1500000,2880000,1300000,N 
167,PARSHURAM PATIL,Belgaum Dakshin,IND,L,0,No Cases ,No Cases,,,12th,230575,500000,730575,8000,Y 
168,LODHI AIJAZ AHAMED,Belgaum Dakshin,IUML,L,0,No Cases ,No Cases,,,12th,55000,1600000,1655000,380564,Y 
